S.No.,Name of the District,No and Name of the AC,Deceased,Shifted/ Absent,Enrolled at multiple places,Total
32,Tiruppur,113-Tiruppur (North),17190,91044,2827,111061
32,Tiruppur,114-Tiruppur (South),10742,74203,2068,87013
32,Tiruppur,115-Palladam,24571,82448,5888,112907
32,Tiruppur,125-Udumalaipettai,16519,32267,2914,51700
32,Tiruppur,126-Madathukulam,17238,16461,2901,36600
32,Tiruppur,Total,158457,382927,22401,563785
33,Kallakurichi,77-Ulundurpettai,8457,7700,1317,17474
33,Kallakurichi,78-Rishivandiyam,8650,10024,1643,20317
33,Kallakurichi,79-Sankarapuram,9375,13357,1483,24215
33,Kallakurichi,80-Kallakurichi,7315,13742,1266,22323
33,Kallakurichi,Total,33797,44823,5709,84329
34,Tenkasi,219-Sankarankovil,11071,13593,1534,26198
34,Tenkasi,220-Vasudevanallur,16103,12501,2031,30635
34,Tenkasi,221-Kadayanallur,14182,17501,4120,35803
34,Tenkasi,222-Tenkasi,17445,15790,1801,35036
34,Tenkasi,223-Alangulam,11338,11799,1093,24230
34,Tenkasi,Total,70139,71184,10579,151902
35,Chengalpattu,27-Shozhinganallur,22742,190851,4846,218439
35,Chengalpattu,30-Pallavaram,23891,120948,4947,149786
35,Chengalpattu,31-Tambaram,17210,100266,3652,121128
35,Chengalpattu,32-Chengalpattu,19846,81248,5174,106268
35,Chengalpattu,33-Thiruporur,10236,35270,2052,47558
35,Chengalpattu,34-Cheyyur,8213,22280,1901,32394
35,Chengalpattu,35-Madurantakam,8427,16707,1164,26298
35,Chengalpattu,Total,110565,567570,23736,701871
36,Tirupathur,47-Vaniyambadi,9851,18563,2751,31165
36,Tirupathur,48-Ambur,10293,27381,2509,40183
36,Tirupathur,49-Jolarpet,7064,11117,2225,20406
36,Tirupathur,50-Tirupattur,7504,15671,1810,24985
36,Tirupathur,Total,34712,72732,9295,116739
37,Ranipet,38-Arakkonam,11561,29238,1723,42522
37,Ranipet,39-Sholinghur,12688,21473,2000,36161
37,Ranipet,41-Ranipet,11081,23916,1984,36981
37,Ranipet,42-Arcot,11154,17171,1168,29493
37,Ranipet,Total,46484,91798,6875,145157
38,Mayiladuthurai,160-Sirkazhi,11654,11965,1313,24932
38,Mayiladuthurai,161-Mayiladuthurai,9435,8652,1075,19162
38,Mayiladuthurai,162-Poompuhar,13770,15765,1749,31284
38,Mayiladuthurai,Total,34859,36382,4137,75378
,,Grand Total,2694672,6644881,398278,9737831
